date,supply,demand
2001-05-01,6.737640426051184e-07,-0.7934947702280218
2001-06-01,1.0781968001381307e-06,-1.1397792452518796
2001-07-01,-9.79269020550366e-08,0.3530710185366537
2001-08-01,-4.646692999035743e-07,0.5704124998580056
2001-09-01,9.121417675321929e-07,-1.335876833540077
2001-10-01,-2.098684408352305e-07,0.2084428372127585
2001-11-01,-5.349520824587847e-07,0.5653307372931177
2001-12-01,5.294712010318127e-08,-0.1650590025702965
2002-01-01,1.4437325613368313e-07,-0.34037098917515485
2002-02-01,9.312386496658311e-07,-1.189486400379323
2002-03-01,1.6233479356037174e-07,-0.21034928608428538
2002-04-01,-3.06763784366346e-07,0.2585778210846656
2002-05-01,3.4089583102316863e-07,-0.6120467935876371
2002-06-01,9.76853186725964e-07,-1.384283822418723
2002-07-01,-7.954064283410788e-07,0.8575091426440348
2002-08-01,5.297053854706188e-08,-0.3521925063169512
2002-09-01,1.4506528616761248e-07,-0.4127520760680938
2002-10-01,-3.6914806544380356e-07,0.21947579109595636
2002-11-01,1.4621245587855985e-07,-0.3769497977036662
2002-12-01,2.747845581693372e-07,-0.5032650104375953
2003-01-01,-2.0665496814700988e-07,0.10301922311401839
2003-02-01,-1.0188862933225915e-06,1.0937894348854407
2003-03-01,-1.3301452451128907e-07,-0.07265039101892329
2003-04-01,1.0152759157440962e-06,-1.3842721020488518
2003-05-01,-1.392648483272178e-07,0.25460478982817397
2003-06-01,-6.739487057192518e-07,0.8382676314723915
2003-07-01,9.13506177416338e-09,-0.09954565729047835
2003-08-01,1.3385388174246111e-06,-1.6971398339869614
2003-09-01,-4.670477815630661e-07,0.7429606606307082
2003-10-01,-6.0255337880717e-08,0.0222325507864661
2003-11-01,-3.098222734636868e-07,0.3325896467148834
2003-12-01,2.8744189968306785e-07,-0.4314804247039979
2004-01-01,2.5311365717042954e-07,-0.22581057453240166
2004-02-01,4.707486193301675e-07,-0.5396838276737359
2004-03-01,3.246681358664924e-07,-0.34510370497035237
2004-04-01,-1.6790340784301651e-07,0.1770757103281642
2004-05-01,-3.235346189896534e-07,0.3606328839459506
2004-06-01,-1.1473150210993665e-07,0.045929574457161546
2004-07-01,2.0361849336809347e-07,-0.23930834317645522
2004-08-01,-7.500963254059724e-07,0.9821783032541992
2004-09-01,1.2054920947057113e-07,-0.291255852978327
2004-10-01,-1.6311714865949188e-07,0.23745038786398398
2004-11-01,5.928914304134733e-07,-0.5934073153038618
2004-12-01,-3.3007544568180736e-07,0.6404577627587711
2005-01-01,1.7883529113422528e-07,-0.19129436020196544
2005-02-01,-1.4354035629929459e-07,0.2487627061942819
2005-03-01,-4.411644415757109e-07,0.6557341856890427
