date,supply,demand
2000-06-01,6.292015679435877e-08,1.0422215526543641
2000-07-01,6.598705064218203e-07,-0.42882958265353455
2000-08-01,2.3726795459817715e-07,0.5053364518204732
2000-09-01,3.4361046644470134e-07,0.569006409169584
2000-10-01,3.751463774618605e-07,-0.05803497499564307
2000-11-01,5.183041287882913e-07,-0.04192585352074875
2000-12-01,7.727914546306259e-07,-1.0181124032156235
2001-01-01,4.0672930896704605e-07,-0.3280739025488741
2001-02-01,2.5649977528755485e-07,0.15756673549924347
2001-03-01,2.020559966801191e-07,0.48584468463099667
2001-04-01,-1.687568867687758e-07,1.728793671562139
2001-05-01,3.48709884066917e-07,0.6788013231293222
2001-06-01,6.873763822485858e-07,-0.7509654800015481
2001-07-01,6.124153771247482e-07,-1.0248117146296454
2001-08-01,5.909551603415531e-07,-0.565954869073371
2001-09-01,2.7208696570040005e-07,-0.042713414052059286
2001-10-01,3.4521344869182895e-07,0.2263621407118659
2001-11-01,4.871276966117809e-07,-0.2760383829877105
2001-12-01,8.827564107548737e-09,0.9872559739245653
2002-01-01,-2.695597598392182e-07,1.8158520768049482
2002-02-01,1.0160531238700686e-06,-1.221707037805979
2002-03-01,2.5341861643714604e-07,0.5009506286963531
2002-04-01,5.568941015562707e-07,-0.4070540843344674
2002-05-01,8.993051144095862e-07,-1.1505540136160912
2002-06-01,3.8256903829023306e-07,-0.1737874472343627
2002-07-01,1.7683955031760276e-07,0.6555648702089166
2002-08-01,1.50262000798693e-07,0.7399359239602475
2002-09-01,5.201940548984874e-07,-0.13574963624561234
2002-10-01,2.2994998322997088e-07,0.6084864493861046
2002-11-01,5.765349277388485e-07,-0.11380461652430535
2002-12-01,4.347765746642457e-07,-0.13524531055530525
2003-01-01,5.25952111673207e-07,-0.32919448201753465
2003-02-01,1.8036816996042238e-07,1.1761769845029169
2003-03-01,6.773511397032331e-07,-0.5548888190192743
2003-04-01,6.883985566475945e-07,-1.1043632041868767
2003-05-01,4.6146311353064906e-07,-0.5243419166512102
2003-06-01,1.601217851485473e-07,0.5068190686521573
2003-07-01,2.887629204430582e-07,0.04488014877220488
2003-08-01,1.8388881355346996e-07,0.6343354001200987
2003-09-01,3.6195668492937835e-07,0.26558339181489204
2003-10-01,5.468242918040177e-07,-0.7637027860505269
2003-11-01,8.937593385855592e-08,0.5291636979117541
2003-12-01,5.96738817290325e-07,-0.6759857633410884
2004-01-01,5.493828583248999e-07,-0.7555792580446203
2004-02-01,3.4128577509703676e-07,-0.05546437550943151
2004-03-01,3.2821970406606587e-07,-0.07401521619169889
2004-04-01,3.28318306319821e-08,1.1657229721820035
2004-05-01,4.0973136287356506e-08,1.1674612611432365
2004-06-01,5.989354660917514e-07,-0.1083826740625442
2004-07-01,6.362400083283097e-07,-0.5741312499999749
2004-08-01,4.610621849479635e-07,-0.34509110186758024
2004-09-01,6.173063947271364e-07,-0.8287878192966263
2004-10-01,-1.0966581338704795e-07,1.2569248727561306
2004-11-01,5.812203724674842e-07,-0.4115372377521316
2004-12-01,4.497968587201971e-07,-0.07739251900886061
2005-01-01,5.983681522564994e-07,-0.46069821164741476
2005-02-01,4.6126254502199576e-07,-0.02990035413205846
2005-03-01,1.3406132507721286e-07,0.6214441927263721
2005-04-01,4.150306600936788e-07,-0.17385886540743753
2005-05-01,6.977435551079334e-07,-0.6222231675345556
2005-06-01,1.9471193880749715e-07,0.2562935721436449
2005-07-01,1.365445855696145e-07,0.7244451632719234
2005-08-01,5.420031677635717e-07,0.06737767564897593
2005-09-01,4.348003885725631e-08,1.0664218728800072
2005-10-01,7.442075768762095e-07,-1.12414069326891
2005-11-01,5.105777930716932e-07,-0.5650974279605362
2005-12-01,2.483183181751399e-07,0.1668637079532151
2006-01-01,3.1831792787599597e-07,0.2019934506304255
2006-02-01,3.020497724638468e-07,0.31306434594310356
2006-03-01,4.890268255275538e-07,-0.22425417335869421
2006-04-01,2.009814375734318e-07,0.9138796933240688
2006-05-01,5.078783327048251e-07,0.010162599621118382
2006-06-01,6.533472949024582e-07,-0.4936538039220793
2006-07-01,2.8584455448152613e-07,0.061911114756637756
2006-08-01,5.660364090460894e-07,-0.4894974241513589
2006-09-01,8.741481939445896e-07,-1.5044830971277334
2006-10-01,2.7634638353336454e-07,-0.028285084564856757
2006-11-01,-5.431068186134493e-08,1.0832471197329898
2006-12-01,2.8090052317606006e-07,0.3762505740080486
2007-01-01,3.7374296346839706e-07,-0.216179513733132
2007-02-01,3.5762208033414123e-07,0.049015868981980036
2007-03-01,2.2978372032411107e-07,0.30999591862984704
2007-04-01,6.166640529165854e-07,-0.1902137097075874
2007-05-01,5.243456802855395e-07,-0.37978693826446075
2007-06-01,2.904491155372736e-07,0.13359692213117216
2007-07-01,4.6998396039296516e-07,-0.3016035034733424
2007-08-01,5.347345421547091e-07,-0.5742799569149106
2007-09-01,-1.4809155402677352e-07,1.4363961170209145
2007-10-01,2.609050805508232e-08,1.2024356687943014
2007-11-01,2.674204587316413e-07,1.2327917957194368
2007-12-01,6.897704477344148e-07,-0.4687855482964124
2008-01-01,4.7380019042819074e-07,0.3383470560009004
2008-02-01,6.96247919807496e-07,-0.1883691354153774
2008-03-01,3.1767532097665883e-07,0.6064222438589572
2008-04-01,1.009289321907793e-06,-1.2956194826639635
2008-05-01,-1.580001771064128e-07,1.850681752414594
2008-06-01,1.6317123405867583e-07,0.7223092086936885
2008-07-01,7.341063712009888e-07,-0.36149190702561734
2008-08-01,5.302341322313295e-07,-0.28491402337366983
2008-09-01,4.2128748198334406e-07,-0.415979048149486
2008-10-01,1.0178634919507702e-06,-1.7305222039861934
2008-11-01,1.1043688935669893e-06,-2.730161875087355
2008-12-01,3.2839858789612434e-07,-0.6331148556106061
2009-01-01,3.183675751076849e-07,-0.40943770008059777
2009-02-01,-1.194461666716891e-07,1.0481840644405256
2009-03-01,6.874881495390222e-07,-1.3261130269440455
2009-04-01,-1.3108554762663636e-07,0.9795362492641998
2009-05-01,7.308275897902558e-07,-1.6388037876873234
2009-06-01,2.8213055115804516e-07,-0.29116388463696835
2009-07-01,4.325305654042954e-07,-0.7992456331758269
2009-08-01,-3.9018063512197247e-07,1.7621902698447611
2009-09-01,6.253839697326277e-07,-0.8217772156899664
2009-10-01,1.3452524587913037e-07,0.5132360250942418
2009-11-01,-3.6091015406645174e-07,2.04640549648764
2009-12-01,4.294047141821686e-07,0.26064900719443873
2010-01-01,6.973007650050591e-07,-0.6490164124978957
2010-02-01,6.460280493119116e-07,-0.8140509923423628
2010-03-01,-1.7267568898616876e-07,1.7211923742529804
2010-04-01,7.605238531007472e-07,-0.6380006444505826
2010-05-01,5.244626546465236e-07,-0.09941468352105028
2010-06-01,6.697933513729711e-07,-0.7760564180678763
2010-07-01,2.203069896342655e-07,0.43542045574615
2010-08-01,6.110372942143086e-07,-0.6525998635120327
2010-09-01,2.3681385251966537e-07,0.6499341070462489
2010-10-01,2.5184748312122126e-07,0.3804498998789047
2010-11-01,7.668969469662893e-07,-0.8531570255359758
2010-12-01,-1.1255788237815674e-08,1.3599577656089805
2011-01-01,3.990330110768707e-07,0.24179488625370035
2011-02-01,4.583614877616123e-07,0.0817347084697898
2011-03-01,3.2622182279110147e-07,0.3169066616293804
2011-04-01,5.711907367101005e-07,-0.2069617657812986
2011-05-01,6.399191804784337e-07,-0.6796540312415711
2011-06-01,4.90324101963591e-07,-0.13236895642455881
2011-07-01,5.408943254439764e-07,-0.04414592294617626
2011-08-01,4.7274513506759204e-07,-0.43758611383154256
2011-09-01,-1.8669100271700568e-07,1.7176005484785177
2011-10-01,5.491616892986254e-07,-0.1056049396070596
2011-11-01,4.106994876316134e-07,-0.026196498773118564
2011-12-01,8.372040380308764e-07,-1.0709217087397946
2012-01-01,3.753132490989377e-07,-0.13348465153888125
2012-02-01,1.8187662216028655e-07,0.2545862098579992
2012-03-01,4.1751811097386477e-07,0.01880277749020665
2012-04-01,3.6801749725848953e-07,0.010819019594465136
2012-05-01,5.089618470507603e-07,-0.36899919404152753
2012-06-01,3.769838393211201e-07,0.010701156380530544
2012-07-01,1.616359404073173e-07,0.33267065605020213
2012-08-01,2.873781333439631e-08,1.0794188117452288
2012-09-01,5.113364639961669e-07,-0.12206588163993654
2012-10-01,4.953600040165814e-07,-0.15423453201259535
2012-11-01,7.142057047904142e-07,-1.1290208195773972
2012-12-01,2.3894406539239873e-07,0.34980008201671686
2013-01-01,9.146805207455104e-07,-1.3502239231831674
2013-02-01,3.261488748153061e-07,0.0023644167493889904
2013-03-01,2.416289256089961e-07,0.12026496091173407
2013-04-01,7.38871436001615e-07,-1.3074247811086073
2013-05-01,-1.432449908322897e-07,1.3662376092805553
2013-06-01,2.195458045122415e-07,0.5919659764634311
2013-07-01,5.092125939152525e-07,-0.3544161639671178
2013-08-01,7.226083748268423e-07,-1.173869491704687
2013-09-01,4.6437831734929994e-07,-0.6565919552375739
2013-10-01,6.779208269598261e-07,-1.2841597978461115
2013-11-01,4.560930727597026e-08,0.5495550176514583
2013-12-01,4.620772909323041e-09,0.8835477078250824
2014-01-01,5.30679367475158e-07,-0.414919319903019
2014-02-01,4.0768237861049657e-07,-0.24467537229527633
2014-03-01,5.707341870353482e-07,-0.9015335646167925
2014-04-01,8.608795143854848e-08,0.556776280892674
2014-05-01,6.61921701762254e-07,-0.8880612378195843
2014-06-01,2.062776175145e-07,0.2978695435717378
2014-07-01,4.4820714716827124e-07,-0.4174908855251867
2014-08-01,2.827216602901521e-07,0.11981811499903872
2014-09-01,4.896994199360979e-07,-0.4442267448696393
2014-10-01,4.3846223952508355e-07,-0.36166490511423105
2014-11-01,3.8197011726867443e-07,-0.25245578830009174
