,F1,F2
AT,0.30345286174939956,-0.42094159794696634
BE,0.2920716331343105,-0.007099703516211163
DE,0.31460565132857155,-0.3292011492913036
ES,0.2979383150687251,0.43852462519297253
FI,0.2961512976866538,-0.30191681940031695
FR,0.3110561160906098,-0.09522992706557885
GR,0.28370329621524376,0.4932859949780294
IE,0.28655376509984115,0.3211595645134035
IT,0.31917858396748067,-0.11878980337045679
NL,0.2978669795173704,-0.1284732093100987
PT,0.31177674925345206,0.21158236049263343
