period,n_obs,corr_supply,corr_demand
Full sample,296,-0.011954926596381116,-0.0018651981538626815
Peg 2001–2008,89,0.03658655989831591,0.08996666860940393
GFC deval 2008–09,15,-0.09972726916668938,-0.31787969605505223
Peg 2010–2013,48,-0.037807457541041686,-0.07453885411124159
Crimea deval 2014–15,24,-0.09633035534944442,-0.15074070911900475
IT period 2016–21,72,-0.0832632073948907,-0.06741882604688024
War period 2022–25,48,0.14766892145160593,0.3427433496540373
