date,UA_actual,UA_counterfactual_factor,EA_mean,EA_factor_F1
2000-01-01,,7.6076747305238,2.0727272727272723,-0.2551006486127425
2000-02-01,,7.473769780608052,2.3181818181818183,0.11107883890460574
2000-03-01,,7.398572008722564,2.4454545454545453,0.3167163570755148
2000-04-01,,7.505580292247306,2.2818181818181817,0.024089098368085895
2000-05-01,,7.4165807929330265,2.436363636363636,0.2674691307620211
2000-06-01,,7.181004136904653,2.8090909090909095,0.9116823523777762
2000-07-01,,7.194885674779844,2.8000000000000003,0.8737215867131156
2000-08-01,,7.11311029327808,2.9454545454545453,1.097346384068943
2000-09-01,,6.960376110393519,3.1818181818181817,1.5150167155259864
2000-10-01,,6.915836219855972,3.290909090909091,1.636816501877271
2000-11-01,,6.9011033245932945,3.309090909090909,1.6771054086005
2000-12-01,25.815994260555343,7.0525546429484605,3.0454545454545454,1.262943227336734
2001-01-01,22.087221964114438,7.14972976315547,2.909090909090909,0.9972059581825451
2001-02-01,18.896171632041717,7.169290943937827,2.881818181818182,0.9437135132906699
2001-03-01,17.26426339395486,7.1232601303903,2.9545454545454537,1.0695904112354095
2001-04-01,17.033655206356112,6.865826040310119,3.372727272727273,1.7735754635756489
2001-05-01,15.08500472789569,6.705183731494017,3.6181818181818177,2.2128715340562053
2001-06-01,11.644662252905611,6.808083635103386,3.472727272727273,1.9314791434614518
2001-07-01,9.85655955416036,6.987827757482718,3.1727272727272724,1.4399468240174602
2001-08-01,9.63684643505205,7.099636475767988,2.9818181818181815,1.134192188453709
2001-09-01,7.285958889661059,7.166529439081791,2.8909090909090907,0.9512651865753099
2001-10-01,6.016302571440235,7.19038035216017,2.8272727272727276,0.8860419432720799
2001-11-01,6.121896498304191,7.323268488121054,2.6181818181818186,0.5226430580635094
2001-12-01,6.1218964983042135,7.243104498630566,2.772727272727273,0.7418613065856342
2002-01-01,5.599128535258324,6.945609362641573,3.263636363636364,1.5553981960276992
2002-02-01,3.4997422820723267,7.094417565899543,3.0,1.1484639367515033
2002-03-01,2.162270463317917,7.055483824627108,3.0727272727272723,1.254933021241985
2002-04-01,2.0616179801028034,7.109219920781875,2.9818181818181815,1.1079850841902465
2002-05-01,1.3500329941857905,7.294294486583877,2.690909090909091,0.6018760142827236
2002-06-01,-1.0678604370870204,7.419120410027992,2.481818181818182,0.2605242367389864
2002-07-01,-0.8665742935206167,7.350049383795182,2.5727272727272728,0.449407418459614
2002-08-01,-0.8665742935206167,7.260008689977855,2.727272727272727,0.6956347247577005
2002-09-01,-1.0640512371590138,7.312107120468564,2.6454545454545455,0.5531651850614527
2002-10-01,-0.5703588780629709,7.234933429579306,2.7636363636363637,0.7642060957778329
2002-11-01,-0.3724889454819968,7.229998039013132,2.7636363636363637,0.7777025258153804
2002-12-01,-0.5686060932270864,7.232327700231431,2.7454545454545456,0.7713317818545172
2003-01-01,-0.0763714699262396,7.314483852168475,2.6181818181818177,0.5466657211029694
2003-02-01,2.457189091181045,7.124884670202253,2.9272727272727277,1.0651479081302826
2003-03-01,4.314419104918499,7.19154975045551,2.809090909090909,0.8828440803942649
2003-04-01,3.5942998408805997,7.399516972814822,2.4636363636363634,0.3141322370168983
2003-05-01,3.906017894564262,7.567967165612824,2.190909090909091,-0.14651544859727447
2003-06-01,5.916419462789024,7.514122074058354,2.272727272727273,0.0007305497257644517
2003-07-01,7.421830500838866,7.548007000704158,2.2181818181818183,-0.09193193274057151
2003-08-01,5.807273930184986,7.496485653869212,2.3,0.04895950101220988
2003-09-01,6.229658257251547,7.4639870192054,2.3363636363636364,0.1378309982473436
2003-10-01,6.86260557556686,7.570915747639433,2.145454545454545,-0.1545787073198659
2003-11-01,8.13604278202844,7.507823855377085,2.2454545454545456,0.017953800176403436
2003-12-01,8.242685822247342,7.604954890551128,2.0727272727272728,-0.24766291305517973
2004-01-01,8.136042782028397,7.756917802985298,1.8181818181818181,-0.6632241109929681
2004-02-01,7.387326363161795,7.837074257913211,1.6909090909090911,-0.8824217553308235
2004-03-01,6.643793935325859,7.879324323527394,1.6272727272727274,-0.9979597349492765
2004-04-01,6.643793935325837,7.7123630173718105,1.8909090909090907,-0.541383592232031
2004-05-01,7.390300492873125,7.4977726878831685,2.2363636363636363,0.04543994885267777
2004-06-01,8.033998597725578,7.461740602001782,2.3000000000000003,0.14397410125353233
2004-07-01,8.142140738463999,7.522050709979384,2.1999999999999997,-0.02095127637626829
2004-08-01,9.902338349669936,7.5370198329193805,2.163636363636363,-0.06188617661857376
2004-09-01,10.66706635011496,7.658368322365851,1.981818181818182,-0.39372848494601903
2004-10-01,11.65028806497286,7.4704559356098565,2.3000000000000003,0.12014095396393949
2004-11-01,11.32158260452638,7.527176878146156,2.2181818181818183,-0.03496941113093717
2004-12-01,12.308670529098542,7.5336593195145385,2.190909090909091,-0.05269644108486542
2005-01-01,12.640944702261605,7.663651082608332,2.027272727272728,-0.4081748399126277
2005-02-01,13.314097758251188,7.637697437967683,2.0363636363636366,-0.33720141958947947
2005-03-01,14.668449524286054,7.533383847182244,2.1818181818181817,-0.05194312824969231
2005-04-01,14.668449524286077,7.55734181222982,2.1545454545454548,-0.11745911827545127
2005-05-01,14.554578174212264,7.684529904033806,1.9545454545454546,-0.46527053454047107
2005-06-01,14.440819903930048,7.661409556449638,1.9909090909090907,-0.40204511206788657
2005-07-01,14.784142363641829,7.535417779373023,2.2181818181818183,-0.05750516496105171
2005-08-01,14.899041405046852,7.489180170182767,2.2818181818181817,0.06893724099905846
2005-09-01,13.87822070154694,7.2990708186430355,2.590909090909091,0.5888145492156307
2005-10-01,12.429671905930364,7.435836199446357,2.372727272727273,0.21481286306298653
