date,UA_actual,UA_counterfactual_svar,EA_average
2000-01-01,,,2.0727272727272723
2000-02-01,,,2.3181818181818183
2000-03-01,,,2.4454545454545453
2000-04-01,,,2.2818181818181817
2000-05-01,,,2.436363636363636
2000-06-01,,,2.8090909090909095
2000-07-01,,,2.8000000000000003
2000-08-01,,,2.9454545454545453
2000-09-01,,,3.1818181818181817
2000-10-01,,,3.290909090909091
2000-11-01,,,3.309090909090909
2000-12-01,25.815994260555343,,3.0454545454545454
2001-01-01,22.087221964114438,,2.909090909090909
2001-02-01,18.896171632041717,,2.881818181818182
2001-03-01,17.26426339395486,,2.9545454545454537
2001-04-01,17.033655206356112,,3.372727272727273
2001-05-01,15.08500472789569,17.410809309140234,3.6181818181818177
2001-06-01,11.644662252905611,15.962834265377724,3.472727272727273
2001-07-01,9.85655955416036,13.132622487214967,3.1727272727272724
2001-08-01,9.63684643505205,10.348187485718837,2.9818181818181815
2001-09-01,7.285958889661059,8.574788505489014,2.8909090909090907
2001-10-01,6.016302571440235,7.7818168928799745,2.8272727272727276
2001-11-01,6.121896498304191,6.739720738154452,2.6181818181818186
2001-12-01,6.1218964983042135,7.580538213534211,2.772727272727273
2002-01-01,5.599128535258324,10.944143864207124,3.263636363636364
2002-02-01,3.4997422820723267,11.112429238414865,3.0
2002-03-01,2.162270463317917,11.9874366377511,3.0727272727272723
2002-04-01,2.0616179801028034,11.909973026607059,2.9818181818181815
2002-05-01,1.3500329941857905,10.357755108788469,2.690909090909091
2002-06-01,-1.0678604370870204,9.158248492089008,2.481818181818182
2002-07-01,-0.8665742935206167,9.576450359656146,2.5727272727272728
2002-08-01,-0.8665742935206167,11.06602878024152,2.727272727272727
2002-09-01,-1.0640512371590138,11.687549578317602,2.6454545454545455
2002-10-01,-0.5703588780629709,12.944228322431051,2.7636363636363637
2002-11-01,-0.3724889454819968,13.526963014965997,2.7636363636363637
2002-12-01,-0.5686060932270864,13.753866150593307,2.7454545454545456
2003-01-01,-0.0763714699262396,13.341836335739082,2.6181818181818177
2003-02-01,2.457189091181045,14.972470435522407,2.9272727272727277
2003-03-01,4.314419104918499,15.026469415532794,2.809090909090909
2003-04-01,3.5942998408805997,13.247020416596651,2.4636363636363634
2003-05-01,3.906017894564262,11.180534754433976,2.190909090909091
2003-06-01,5.916419462789024,10.804364907923818,2.272727272727273
2003-07-01,7.421830500838866,10.65141977173651,2.2181818181818183
2003-08-01,5.807273930184986,11.445456627734277,2.3
2003-09-01,6.229658257251547,12.177209321372048,2.3363636363636364
2003-10-01,6.86260557556686,11.393252601727557,2.145454545454545
2003-11-01,8.13604278202844,11.729569410628924,2.2454545454545456
2003-12-01,8.242685822247342,10.913251796545163,2.0727272727272728
2004-01-01,8.136042782028397,9.321005457416222,1.8181818181818181
2004-02-01,7.387326363161795,8.228140770910217,1.6909090909090911
2004-03-01,6.643793935325859,7.562535408323582,1.6272727272727274
2004-04-01,6.643793935325837,9.057350199097458,1.8909090909090907
2004-05-01,7.390300492873125,11.781862211068688,2.2363636363636363
2004-06-01,8.033998597725578,13.249678505554568,2.3000000000000003
2004-07-01,8.142140738463999,13.17574120961416,2.1999999999999997
2004-08-01,9.902338349669936,12.65094826525075,2.163636363636363
2004-09-01,10.66706635011496,11.199129879351176,1.981818181818182
2004-10-01,11.65028806497286,12.401140599210917,2.3000000000000003
2004-11-01,11.32158260452638,12.44098450618856,2.2181818181818183
2004-12-01,12.308670529098542,12.305869041753683,2.190909090909091
2005-01-01,12.640944702261605,11.31773751357205,2.027272727272728
2005-02-01,13.314097758251188,10.764469232756072,2.0363636363636366
2005-03-01,14.668449524286054,11.408231763660051,2.1818181818181817
2005-04-01,14.668449524286077,11.531224633178248,2.1545454545454548
2005-05-01,14.554578174212264,10.56040559994656,1.9545454545454546
2005-06-01,14.440819903930048,10.335676223315803,1.9909090909090907
2005-07-01,14.784142363641829,11.415656515118155,2.2181818181818183
2005-08-01,14.899041405046852,12.221336543901892,2.2818181818181817
2005-09-01,13.87822070154694,14.31351455021897,2.590909090909091
2005-10-01,12.429671905930364,13.728400448379935,2.372727272727273
2005-11-01,11.987035402363787,12.518030891856833,2.2363636363636363
2005-12-01,10.346600313461952,12.014030399370638,2.2545454545454544
2006-01-01,9.804089987437049,12.167737523267473,2.3454545454545452
2006-02-01,10.673825353674204,12.683101997106398,2.4
2006-03-01,8.604137674816116,12.507526531880425,2.327272727272727
2006-04-01,7.417796548278877,13.758781727050314,2.5818181818181816
2006-05-01,7.311019414533093,14.473456605248982,2.6545454545454548
2006-06-01,6.777664447263976,14.104781084881019,2.5545454545454542
2006-07-01,7.416414184735176,13.851592531683576,2.5454545454545454
2006-08-01,7.416414184735176,12.926925667087147,2.4363636363636365
2006-09-01,9.128229550228962,9.9901696484954,1.9727272727272727
2006-10-01,10.966861762670854,8.115009355618092,1.8090909090909093
2006-11-01,11.624768057706468,8.702779512253333,2.018181818181818
2006-12-01,11.624768057706468,9.68842140684601,2.109090909090909
2007-01-01,10.852659978255886,9.808959973358826,1.9909090909090912
2007-02-01,9.545948858669416,9.870813847994269,1.9727272727272727
2007-03-01,10.095326736596522,10.503274633778787,2.0999999999999996
2007-04-01,10.537476643169196,10.7285523552963,2.090909090909091
2007-05-01,10.647464182117638,10.32638501171147,1.9727272727272724
2007-06-01,12.968739654469807,10.332288091972814,1.9909090909090907
2007-07-01,13.528545103699097,9.953008082186242,1.9272727272727272
2007-08-01,14.20971637432129,8.898910090127947,1.7454545454545454
2007-09-01,14.43365699466308,10.554689611607543,2.090909090909091
2007-10-01,14.76825833090476,13.503269310807614,2.5090909090909093
2007-11-01,15.219214159316996,17.22705977135184,2.9818181818181815
2007-12-01,16.589512048228606,18.543958578749756,2.9909090909090907
2008-01-01,19.373739201619088,19.81563659522859,3.2272727272727266
2008-02-01,21.865636342010752,20.235491519820688,3.3272727272727267
2008-03-01,26.24404243813092,21.45785062735479,3.6181818181818177
2008-04-01,30.157607753712966,19.907529637183387,3.309090909090909
2008-05-01,31.06327699255589,21.654099719946956,3.809090909090909
2008-06-01,29.26788963649347,23.474976756363944,4.1
