date,F1,F2
2000-01-01,-0.2551006486127425,0.7155053241898595
2000-02-01,0.11107883890460574,0.6079329735074495
2000-03-01,0.3167163570755148,0.6176823558099057
2000-04-01,0.024089098368085895,0.7807153013129969
2000-05-01,0.2674691307620211,0.9815715213066687
2000-06-01,0.9116823523777762,0.6357841047730047
2000-07-01,0.8737215867131156,1.0206345814450988
2000-08-01,1.097346384068943,1.1178703118384927
2000-09-01,1.5150167155259864,0.8272862688926359
2000-10-01,1.636816501877271,1.1418815620394525
2000-11-01,1.6771054086005,1.1985622017282078
2000-12-01,1.262943227336734,1.0622839436910831
2001-01-01,0.9972059581825451,0.6796675903549503
2001-02-01,0.9437135132906699,0.8112377792782257
2001-03-01,1.0695904112354095,0.8563812243955965
2001-04-01,1.7735754635756489,0.6547507353587299
2001-05-01,2.2128715340562053,0.49038041599180876
2001-06-01,1.9314791434614518,0.8110952715594412
2001-07-01,1.4399468240174602,0.49736886964564037
2001-08-01,1.134192188453709,0.4074470261331647
2001-09-01,0.9512651865753099,0.5849032537173199
2001-10-01,0.8860419432720799,0.5565433839243029
2001-11-01,0.5226430580635094,0.6598039997635625
2001-12-01,0.7418613065856342,0.8277628919178266
2002-01-01,1.5553981960276992,1.0484584441308162
2002-02-01,1.1484639367515033,0.9617824223505513
2002-03-01,1.254933021241985,1.0553858968767398
2002-04-01,1.1079850841902465,1.2655051041903407
2002-05-01,0.6018760142827236,1.4303329775205869
2002-06-01,0.2605242367389864,1.3983848908821275
2002-07-01,0.449407418459614,1.226229259054253
2002-08-01,0.6956347247577005,1.3208450013281305
2002-09-01,0.5531651850614527,1.422051847634433
2002-10-01,0.7642060957778329,1.5059122190398955
2002-11-01,0.7777025258153804,1.4798048888586943
2002-12-01,0.7713317818545172,1.3902642601283164
2003-01-01,0.5466657211029694,1.4541649402421135
2003-02-01,1.0651479081302826,1.5418352501342576
2003-03-01,0.8828440803942649,1.3771791663088095
2003-04-01,0.3141322370168983,1.3686211347590949
2003-05-01,-0.14651544859727447,1.4223980444693152
2003-06-01,0.0007305497257644517,1.347036951340505
2003-07-01,-0.09193193274057151,1.3505019420489885
2003-08-01,0.04895950101220988,1.2906090413622209
2003-09-01,0.1378309982473436,1.171843178640096
2003-10-01,-0.1545787073198659,1.07095757297736
2003-11-01,0.017953800176403436,0.9698577261369606
2003-12-01,-0.24766291305517973,0.9255382517401869
2004-01-01,-0.6632241109929681,0.8478327861090107
2004-02-01,-0.8824217553308235,0.7922410485777215
2004-03-01,-0.9979597349492765,0.9011383406831623
2004-04-01,-0.541383592232031,0.8907413933605974
2004-05-01,0.04543994885267777,0.8204163704849148
2004-06-01,0.14397410125353233,1.0173316725208452
2004-07-01,-0.02095127637626829,0.9748339870992492
2004-08-01,-0.06188617661857376,0.7484258795027885
2004-09-01,-0.39372848494601903,0.8839603644746021
2004-10-01,0.12014095396393949,0.8283687648830772
2004-11-01,-0.03496941113093717,0.9820612480095445
2004-12-01,-0.05269644108486542,0.7783477357712221
2005-01-01,-0.4081748399126277,1.0697454685503074
2005-02-01,-0.33720141958947947,0.8395063220179461
2005-03-01,-0.05194312824969231,0.5938405346977975
2005-04-01,-0.11745911827545127,0.7823963616738059
2005-05-01,-0.46527053454047107,0.8280772612154358
2005-06-01,-0.40204511206788657,0.5996333177114023
2005-07-01,-0.05750516496105171,0.8683169290437173
2005-08-01,0.06893724099905846,0.8570355515259847
2005-09-01,0.5888145492156307,0.8157016856272279
2005-10-01,0.21481286306298653,0.9142644808495698
2005-11-01,-0.002771256811706815,0.8527389648509066
2005-12-01,0.013306367258654719,0.9569271137964234
2006-01-01,0.20945527747309006,0.9833020523773394
2006-02-01,0.277739134148342,1.0717373066694384
2006-03-01,0.13609190283450542,1.2872662093421052
2006-04-01,0.5699678132487888,0.9855146671440875
2006-05-01,0.7066293304976026,0.9858108093842126
2006-06-01,0.5382881605636839,1.013777849159562
2006-07-01,0.4948429212126732,1.1255807709838048
2006-08-01,0.3125162573632758,1.0186428767073936
2006-09-01,-0.4607948847904759,1.0811986896128167
2006-10-01,-0.7416437879807486,1.0244773245611578
2006-11-01,-0.37223792169739034,0.8241189910776955
2006-12-01,-0.2402078028641958,0.9117167298309209
2007-01-01,-0.4217477158242403,0.7847522947914803
2007-02-01,-0.4614942136207807,0.6871789482963155
2007-03-01,-0.25347255176809996,0.5667116495481355
2007-04-01,-0.25395743499591233,0.5815453002526106
2007-05-01,-0.45253523124208256,0.5205797843944077
2007-06-01,-0.41067700242083144,0.5144950225373405
2007-07-01,-0.5066745738744531,0.4649849731954284
2007-08-01,-0.7942727022958211,0.5245497237722857
2007-09-01,-0.21621890433077293,0.4550828741474611
2007-10-01,0.4930994118423191,0.4402789538199861
2007-11-01,1.2682603178864897,0.5123258522787488
2007-12-01,1.2984581073047672,0.5089058517867262
2008-01-01,1.7458471469398966,0.3089021226556574
2008-02-01,1.8671988440735177,0.5294787354519932
2008-03-01,2.372209676419732,0.3532068840404413
2008-04-01,1.8558122398297872,0.3663718290787587
2008-05-01,2.684805564033466,0.24512918611851106
2008-06-01,3.174826516338947,0.2632295334636745
2008-07-01,3.18009867549489,0.22667170939101375
